time,price
20190427,1969
20190424,1834
20190423,1702
20190422,1730
20190420,1777
20190417,1687
20190416,1679
20190415,1822
20190414,1755
20190413,1789
20190410,1882
20190409,1877
20190408,1797
20190407,1834
20190406,1800
20190331,1656
20190330,1529
20190327,1597
20190326,1488
20190325,1359
20190319,1291
20190318,954
20190317,2203
20190316,2203
20190313,2203
20190312,2203
20190311,2319
20190310,2312
20190309,2403
20190306,2304
20190305,2134
20190304,2263
20190303,2430
20190302,2324
20190227,2184
20190226,2086
20190225,2127
20190224,2121
20190223,2105
20190220,2138
20190219,2275
20190218,2177
20190217,1951
20190216,2051
20190213,2151
20190212,2083
20190210,2230
20190206,2230
20190205,2230
20190204,2230
20190203,2230
20190202,2230
20190130,2230
20190129,2230
20190128,2230
20190127,2230
20190126,2314
20190123,2441
20190122,2389
20190121,2266
20190120,2414
20190119,2207
20190116,2207
20190115,2207
20190114,2207
20190113,2207
20190112,2207
20190109,2207
20190108,2207
20190107,2207
20190106,2207
20190105,2207
20190102,2207
20190101,2207
20181231,2041
20181230,1924
20181229,1962
20181226,1924
20181225,1898
20181224,1928
20181223,2000
20181222,1915
20181219,1894
20181218,1833
20181217,1891
20181216,1886
20181215,1929
20181212,2018
20181211,1920
20181210,1920
20181209,1925
20181208,2046
20181205,2014
20181204,1943
20181203,2022
20181202,1900
20181201,1771
20181128,1913
20181127,1966
20181126,1877
20181124,2018
20181121,2160
20181120,2124
20181119,2220
20181118,2145
20181117,2340
20181114,2356
20181113,2439
20181112,2389
20181111,2238
20181110,2398
20181106,2387
20181105,2187
20181104,2040
20181103,2174
20181031,2200
20181029,2140
20181028,2018
20181027,1868
20181024,1745
20181023,1856
20181022,2028
20181021,2313
20181020,2166
20181017,1981
20181016,1877
20181015,1723
20181014,1581
20181013,1748
20181010,1907
20181009,2030
20181008,1898
20181007,2086
20181006,2260
20181003,2328
20181002,2459
20181001,2671
20180930,2550
20180929,2163
20180926,2163
20180925,1967
20180924,1821
20180923,1917
20180922,1926
20180918,1831
20180917,1699
20180916,1549
20180915,1648
20180912,1548
20180911,1422
20180910,1317
20180909,1132
20180908,1132
20180905,1083
20180904,989
20180903,900
20180902,849
20180901,835
20180829,861
20180828,847
20180827,847
20180826,896
20180825,836
20180821,764
20180820,706
20180819,648
20180818,644
20180815,637
20180814,639
20180813,658
20180812,654
20180811,640
20180808,620
20180807,620
20180806,634
20180805,634
20180804,635
20180801,669
20180731,655
20180730,618
20180729,631
20180728,641
20180727,636
20180726,636
20180725,636
20180724,643
20180723,659
20180722,671
20180721,688
20180718,667
20180717,675
20180716,689
20180715,700
20180714,700
20180711,700
20180710,700
20180708,700
20180707,698
20180704,703
20180703,665
20180702,654
20180701,659
20180630,675
20180627,666
20180626,678
20180625,706
20180624,720
20180623,719
20180620,712
20180619,726
20180618,755
20180617,724
20180613,664
20180612,630
20180611,634
20180610,647
20180609,647
